,Vehicle_Class,Vehicle_Category,Month,month_sin,month_cos,State_EV_Group,Days_Since_Start,Log_EV_Sales_Quantity
239,15,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
240,19,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
241,20,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
242,22,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
243,25,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
244,26,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
245,27,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
246,28,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
247,33,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
248,31,0,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
249,38,0,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
250,39,2,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
251,40,2,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.693147181
252,46,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
253,54,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
254,58,1,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
255,59,1,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
256,63,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
257,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
258,2,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
259,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
260,14,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
261,21,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
262,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
263,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
264,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
265,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
266,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
267,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
268,47,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
269,58,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
270,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.693147181
271,63,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
272,64,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
273,66,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
274,69,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
275,0,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
276,1,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
277,2,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
278,5,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
279,9,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
280,13,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
281,14,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
282,15,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
283,19,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
284,20,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
285,21,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
286,22,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
287,23,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
288,26,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
289,27,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
290,33,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
291,31,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,2.944438979
292,32,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
