STATE,ANDAMAN & NICOBAR ISLAND,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,TAMIL NADU,TRIPURA,UT OF DNH AND DD,UTTARAKHAND,UTTAR PRADESH,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,0,4776,1,5810,6672,528,3574,7633,991,10563,3077,157,899,1591,18892,8666,6369,22810,24,10,4247,400,2740,9693,11495,589,12,1683,22251,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,1,1330,0,5103,6140,457,2348,4905,618,4987,2460,80,845,1541,9455,5201,4422,10719,4,7,2640,154,2119,6227,6163,505,6,1478,21396,1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,3,1710,2,5326,7608,469,2790,4924,654,6297,2182,75,885,1919,11603,5290,5466,12212,12,23,3361,210,1975,7105,7294,606,9,1424,23870,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUG,3,2085,4,5596,7807,525,3337,4945,809,6629,2476,80,959,1657,11435,6102,7218,14365,22,22,3317,229,2413,7759,7403,662,10,1475,26410,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,1,1657,4,6587,9393,578,3349,4849,633,8176,2066,79,947,1918,12181,5737,6125,14147,2,14,3612,156,2601,7736,6248,538,21,1247,26388,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,2,2102,2,6148,9727,605,3479,6032,661,9351,2716,61,1042,1857,12997,6273,6297,18463,12,4,4739,207,2802,8181,7439,563,17,1291,25293,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,4,2343,2,4840,8956,688,5477,6932,1097,6285,2406,82,1149,2356,15930,6689,8205,21416,13,11,5067,211,2966,11343,8081,770,18,1657,27175,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,9,2743,4,4582,9301,674,3056,9486,884,4969,3298,129,985,2138,12085,6281,6287,16711,14,4,5024,247,2470,7885,6364,564,20,1589,30308,3837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,3,2528,5,4262,8377,574,3680,7601,931,6289,3594,108,1039,1696,14454,8044,6905,18893,29,28,4443,331,2465,7430,8743,532,35,1235,28032,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,6,3202,4,4707,7716,473,3497,5648,1099,5951,3031,98,1095,1847,14396,6945,7032,18039,50,30,4419,418,3362,8049,9817,591,30,1450,26031,2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
