Month,State_EV_Group,Vehicle_Category,Vehicle_Class,Log_EV_Sales_Quantity1,Type,Log_EV_Sales_Quantity,State_EV_Category_1,Vehicle_Category_1
11,2,0,14,0.27080333,Forecast,0.54160666,Moderate-EV-Adoption-States,2-Wheelers
11,1,0,14,-0.7517429,Forecast,-1.5034858,Low-EV-Adoption-States,2-Wheelers
11,0,4,16,-0.057333894,Forecast,-0.114667788,High-EV-Adoption-States,Others
11,2,4,16,0.008348106,Forecast,0.016696212,Moderate-EV-Adoption-States,Others
11,1,4,16,0.033786744,Forecast,0.067573488,Low-EV-Adoption-States,Others
11,0,0,17,1.573688,Forecast,3.147376,High-EV-Adoption-States,2-Wheelers
11,2,0,17,1.5855241,Forecast,3.1710482,Moderate-EV-Adoption-States,2-Wheelers
11,1,0,17,1.643174,Forecast,3.286348,Low-EV-Adoption-States,2-Wheelers
11,0,2,18,3.2719727,Forecast,6.5439454,High-EV-Adoption-States,4-Wheelers
11,2,2,18,1.5687745,Forecast,3.137549,Moderate-EV-Adoption-States,4-Wheelers
11,1,2,18,0.84951764,Forecast,1.69903528,Low-EV-Adoption-States,4-Wheelers
11,0,2,19,0.9221946,Forecast,1.8443892,High-EV-Adoption-States,4-Wheelers
11,2,2,19,0.42707664,Forecast,0.85415328,Moderate-EV-Adoption-States,4-Wheelers
11,1,2,19,0.21175447,Forecast,0.42350894,Low-EV-Adoption-States,4-Wheelers
11,0,0,20,-0.019406566,Forecast,-0.038813132,High-EV-Adoption-States,2-Wheelers
11,2,0,20,0.98994243,Forecast,1.97988486,Moderate-EV-Adoption-States,2-Wheelers
11,1,0,20,-0.17755619,Forecast,-0.35511238,Low-EV-Adoption-States,2-Wheelers
11,0,0,21,2.40654,Forecast,4.81308,High-EV-Adoption-States,2-Wheelers
11,2,0,21,1.6433022,Forecast,3.2866044,Moderate-EV-Adoption-States,2-Wheelers
11,1,0,21,1.2584869,Forecast,2.5169738,Low-EV-Adoption-States,2-Wheelers
11,0,0,22,0.50946534,Forecast,1.01893068,High-EV-Adoption-States,2-Wheelers
11,2,0,22,0.9907565,Forecast,1.981513,Moderate-EV-Adoption-States,2-Wheelers
11,1,0,22,1.0462376,Forecast,2.0924752,Low-EV-Adoption-States,2-Wheelers
11,0,3,23,-1.038489,Forecast,-2.076978,High-EV-Adoption-States,Bus
11,2,3,23,-0.60580003,Forecast,-1.21160006,Moderate-EV-Adoption-States,Bus
11,1,3,23,-0.80482954,Forecast,-1.60965908,Low-EV-Adoption-States,Bus
11,0,2,24,0.5538467,Forecast,1.1076934,High-EV-Adoption-States,4-Wheelers
11,2,2,24,-0.047924753,Forecast,-0.095849506,Moderate-EV-Adoption-States,4-Wheelers
11,1,2,24,-0.24243997,Forecast,-0.48487994,Low-EV-Adoption-States,4-Wheelers
11,0,2,25,1.234766,Forecast,2.469532,High-EV-Adoption-States,4-Wheelers
11,2,2,25,0.2135425,Forecast,0.427085,Moderate-EV-Adoption-States,4-Wheelers
11,1,2,25,0.07578462,Forecast,0.15156924,Low-EV-Adoption-States,4-Wheelers
11,0,2,26,0.827703,Forecast,1.655406,High-EV-Adoption-States,4-Wheelers
11,2,2,26,1.2803671,Forecast,2.5607342,Moderate-EV-Adoption-States,4-Wheelers
11,1,2,26,0.2564551,Forecast,0.5129102,Low-EV-Adoption-States,4-Wheelers
11,0,4,27,-0.048333712,Forecast,-0.096667424,High-EV-Adoption-States,Others
11,2,4,27,0.005903496,Forecast,0.011806991,Moderate-EV-Adoption-States,Others
11,1,4,27,0.036778554,Forecast,0.073557108,Low-EV-Adoption-States,Others
11,0,1,28,1.7476683,Forecast,3.4953366,High-EV-Adoption-States,3-Wheelers
11,2,1,28,1.8846958,Forecast,3.7693916,Moderate-EV-Adoption-States,3-Wheelers
11,1,1,28,1.9020076,Forecast,3.8040152,Low-EV-Adoption-States,3-Wheelers
11,0,1,29,2.4835687,Forecast,4.9671374,High-EV-Adoption-States,3-Wheelers
11,2,1,29,2.572851,Forecast,5.145702,Moderate-EV-Adoption-States,3-Wheelers
11,1,1,29,2.8356788,Forecast,5.6713576,Low-EV-Adoption-States,3-Wheelers
11,0,1,30,2.0842977,Forecast,4.1685954,High-EV-Adoption-States,3-Wheelers
11,2,1,30,0.69222474,Forecast,1.38444948,Moderate-EV-Adoption-States,3-Wheelers
11,1,1,30,0.3118136,Forecast,0.6236272,Low-EV-Adoption-States,3-Wheelers
11,0,4,31,0.26144245,Forecast,0.5228849,High-EV-Adoption-States,Others
11,2,4,31,0.061559614,Forecast,0.123119228,Moderate-EV-Adoption-States,Others
11,1,4,31,0.20884681,Forecast,0.41769362,Low-EV-Adoption-States,Others
12,0,4,0,-0.014140231,Forecast,-0.028280462,High-EV-Adoption-States,Others
12,2,4,0,0.036066946,Forecast,0.072133892,Moderate-EV-Adoption-States,Others
12,1,4,0,-0.025304705,Forecast,-0.05060941,Low-EV-Adoption-States,Others
12,0,4,1,-0.090933025,Forecast,-0.18186605,High-EV-Adoption-States,Others
12,2,4,1,0.029606521,Forecast,0.059213042,Moderate-EV-Adoption-States,Others
12,1,4,1,-0.06201413,Forecast,-0.12402826,Low-EV-Adoption-States,Others
12,0,4,2,-0.042354356,Forecast,-0.084708712,High-EV-Adoption-States,Others
12,2,4,2,0.0913981,Forecast,0.1827962,Moderate-EV-Adoption-States,Others
12,1,4,2,-0.011527668,Forecast,-0.023055336,Low-EV-Adoption-States,Others
12,0,4,3,0.1602228,Forecast,0.3204456,High-EV-Adoption-States,Others
12,2,4,3,0.16606627,Forecast,0.33213254,Moderate-EV-Adoption-States,Others
12,1,4,3,0.069226116,Forecast,0.138452232,Low-EV-Adoption-States,Others
12,0,3,4,-0.27947998,Forecast,-0.55895996,High-EV-Adoption-States,Bus
12,2,3,4,1.1269646,Forecast,2.2539292,Moderate-EV-Adoption-States,Bus
12,1,3,4,0.13723874,Forecast,0.27447748,Low-EV-Adoption-States,Bus
12,0,4,5,0.01782217,Forecast,0.03564434,High-EV-Adoption-States,Others
12,2,4,5,0.045455284,Forecast,0.090910568,Moderate-EV-Adoption-States,Others
12,1,4,5,0.010376662,Forecast,0.020753324,Low-EV-Adoption-States,Others
12,0,4,6,0.8883627,Forecast,1.7767254,High-EV-Adoption-States,Others
12,2,4,6,0.24524026,Forecast,0.49048052,Moderate-EV-Adoption-States,Others
12,1,4,6,0.20772107,Forecast,0.41544214,Low-EV-Adoption-States,Others
